,phrase_id,doc_id,text,lemma
228,32444,100537,Wielkiej Brytanii,Wielka Brytania
229,348862,100537,hrabstwie Suffolk,hrabstwo Suffolk
231,348865,100538,kawalerem Legii Honorowej,kawaler Legii Honorowej
232,305861,100538,II wojny światowej,II wojna światowa
233,310752,100538,Legii Honorowej,Legia Honorowa
234,311379,100538,Ziemi Mazowieckiej,Ziemia Mazowiecka
235,348869,100538,Międzynarodowej Komisji Krajów Neutralnych ds. repatriacji jeńców,Międzynarodowa Komisja Krajów Neutralnych ds. repatriacji jeńców
236,32495,100538,Międzynarodowej Komisji Krajów Neutralnych,Międzynarodowa Komisja Krajów Neutralnych
237,32465,100538,Wandy z domu Landau,Wanda z domu Landau
239,32501,100538,Janiną Milejkowską,Janina Milejkowska
240,32477,100538,Uniwersytecie Warszawskim,Uniwersytet Warszawski
241,32478,100538,Władysława Winawera,Władysław Winawer
242,32474,100538,Joachima Lelewela,Joachim Lelewel
243,32468,100538,Uniwersytecie Jagiellońskim,Uniwersytet Jagielloński
244,32490,100538,Wydziału Konsularnego,Wydział Konsularny
247,305860,100538,Powstaniu Warszawskim,Powstanie Warszawskie
248,53010,100538,Ambasadzie RP (PRL),Ambasada RP (PRL)
255,294242,100539,Zbiornika Mietków,Zbiornik Mietków
256,32512,100539,drogi krajowej nr 94,droga krajowa nr 94
257,32515,100539,Młyna Leśnica,Młyn Leśnica
259,39276,100540,Akademii Muzycznej,Akademia Muzyczna
262,53013,100540,Górnym Śląsku,Górny Śląsk
265,32543,100540,Karola Szymanowskiego,Karol Szymanowski
266,348880,100540,Stanisława Tabeńskiego,Stanisław Tabeński
267,348885,100541,grą komputerową,gra komputerowa
268,348889,100541,platformę MS-DOS,platforma MS-DOS
269,32774,100541,Richarda Greya,Richard Grey
270,348890,100541,gry Pirates,gra Pirates
272,303771,100541,Morza Karaibskiego,Morze Karaibskie
274,348901,100542,województwie ciechanowskim,województwo ciechanowskie
275,348899,100542,powiecie ciechanowskim,powiat ciechanowski
276,348900,100542,gminie Ciechanów,gmina Ciechanów
278,39274,100543,Pucharze Świata,Puchar Świata
280,348907,100543,igrzyskach w Nagano,igrzyska w Nagano
282,306717,100598,Wysokim napięciu,Wysokie napięcie
285,348915,100598,gier planszowych,gra planszowa
286,41047,100598,Europą środkową,Europa środkowa
287,53021,100599,Nagrody Nobla,Nagroda Nobla
288,349032,100600,polskiej lidze koszykarzy,polska liga koszykarzy
289,349036,100600,Radka Hyżego,Radek Hyży
291,349038,100600,rejestracji użytkowników,rejestracja użytkowników
292,349040,100601,czasach internetowo-multimedialnych,czasy internetowo-multimedialne
294,349043,100601,tematach kuchennych,tematy kuchenne
295,349041,100601,ochronę sfery prywatnej,ochrona sfery prywatnej
300,420194,100607,systemu bibliograficznego,system bibliograficzny
315,420199,100608,Uniwersytetu Warszawskiego,Uniwersytet Warszawski
316,420196,100608,Profesor Barbary Kudryckiej,Profesor Barbara Kudrycka
319,41293,100608,Barbary Kudryckiej,Barbara Kudrycka
320,41316,100608,Interdyscyplinarnego Centrum Modelowania Matematycznego i Komputerowego,Interdyscyplinarne Centrum Modelowania Matematycznego i Komputerowego
321,41312,100608,Instytutu Biochemii i Biofizyki,Instytut Biochemii i Biofizyki
326,420197,100608,Profesor Katarzyny Chałasińskiej-Macukow,Profesor Katarzyna Chałasińska-Macukow
328,41295,100608,Katarzyny Chałasińskiej-Macukow,Katarzyna Chałasińska-Macukow
335,420198,100608,"Prezesa PAN, Profesora Michała Kleibera",Prezes PAN Profesor Michał Kleiber
337,41296,100608,Michała Kleibera,Michał Kleiber
347,420208,100609,Polską Akademię Nauk,Polska Akademia Nauk
348,420209,100609,projektem “Otwórz książkę”,projekt “Otwórz książkę”
357,420211,100610,projektu „Otwórz książkę”,projekt „Otwórz książkę”
359,53046,100610,Instytutu Kultury Polskiej,Instytut Kultury Polskiej
362,420219,100610,licencje Creative Commons,licencja Creative Commons
364,53045,100610,Wydziału Psychologii,Wydział Psychologii
367,53044,100610,Instytutu Etnologii i Antropologi Kulturowej,Instytut Etnologii i Antropologi Kulturowej
369,40326,100610,Politechniki Warszawskiej,Politechnika Warszawska
370,420232,100611,Federacji Bibliotek Cyfrowych,Federacja Bibliotek Cyfrowych
372,420228,100611,licencji Creative Commons,licencja Creative Commons
373,420229,100611,serwisie Scribd,serwis Scribd
375,310419,100612,Nowego Roku,Nowy Rok
378,420244,100617,panelu administracyjnego,panel administracyjny
379,420246,100618,gminie Pokój,gmina Pokój
380,420249,100618,Barbarze Zając,Barbara Zając
384,41438,100618,Barbarą Zając,Barbara Zając
386,420250,100619,kampanii wyborczych,kampania wyborcza
387,41448,100619,Jose Maria Aznara,Jose Maria Aznar
394,41452,100619,Al Kaidy,Al Kaida
395,420257,100619,Al Kaidę,Al Kaida
396,40497,100619,Dworcu Centralnym,Dworzec Centralny
398,40555,100620,Ziemi Lubelskiej,Ziemia Lubelska
402,420268,100620,Nauczycielskim Kolegium Języków Obcych w Sandomierzu,Nauczycielskie Kolegium Języków Obcych w Sandomierzu
403,41467,100620,Nauczycielskim Kolegium Języków Obcych,Nauczycielskie Kolegium Języków Obcych
404,41469,100620,Ch. Bukowskiego,Ch. Bukowski
405,40558,100620,Ulicą Wszystkich Świętych,Ulica Wszystkich Świętych
407,41471,100620,R. Brautigana,R. Brautigan
409,41473,100620,M. Sonnenfelda,M. Sonnenfeld
411,420280,100622,dyskryminacji kobiet,dyskryminacja kobiet
420,420299,100626,MISTRZOSTW SZKÓŁ OKRĘGU ŁÓDZKIEGO W BRYDŻU SPORTOWYM,MISTRZOSTWA SZKÓŁ OKRĘGU ŁÓDZKIEGO W BRYDŻU SPORTOWYM
421,40626,100626,Sokolnikach Lesie,Sokolniki Las
427,420298,100626,Mistrzów Powiatu Zgierskiego,Mistrzowie Powiatu Zgierskiego
428,96309,100626,MistrzostwaSzkół Okręgu Łódzkiego w Brydżu Sportowym,Mistrzostwa Szkół Okręgu Łódzkiego w Brydżu Sportowym
436,41506,100627,Mistrzostwach Województwa Łódzkiego Juniorów Młodszych i Młodzików w Brydżu Sportowym,Mistrzostwa Województwa Łódzkiego Juniorów Młodszych i Młodzików w Brydżu Sportowym
439,420317,100628,Komendy Powiatowej Policji w Poddębicach,Komenda Powiatowa Policji w Poddębicach
440,40729,100628,Komendy Powiatowej Policji,Komenda Powiatowa Policji
442,40731,100628,Komendzie Powiatowej Policji,Komenda Powiatowa Policji
445,420324,100630,Bzurą Ozorków,Bzura Ozorków
447,420325,100630,Ekologiem Wojsławice,Ekolog Wojsławice
455,41536,100634,Stanisława Urbańczyka,Stanisław Urbańczyk
456,420461,100634,erze przedchrześcijańskiej,era przedchrześcijańska
458,420465,100635,ceremonii pogrzebowej,ceremonia pogrzebowa
459,301933,100635,Słowian Zachodnich,Słowianie Zachodni
460,420471,100635,starożytnym Rzymie,starożytny Rzym
463,420504,100637,Boga Litościwego,Bóg Litościwy
474,420548,100641,Boga Litościwego,Bog Litościwy
478,352177,101163,województwie lubelskim,województwo lubelskie
479,352178,101163,powiecie chełmskim,powiat chełmski
480,352179,101163,gminie Rejowiec Fabryczny,gmina Rejowiec Fabryczny
482,99774,101164,Bloku Nasza Ukraina,Blok Nasza Ukraina
484,99755,101164,"Ukraińską Partią ""Jedność""","Ukraińska Partia ""Jedność"""
485,99792,101164,Jurija Łucenki,Jurij Łucenko
486,352185,101164,pomarańczowej rewolucji,pomarańczowa rewolucja
487,99796,101164,Rady Najwyższej,Rada Najwyższa
488,99797,101164,Naszej Ukrainy,Nasza Ukraina
491,99769,101164,Wiktorowi Juszczence,Wiktor Juszczenko
494,99786,101164,Wiktora Juszczenki,Wiktor Juszczenko
500,352189,101165,parodii religii,parodia religii
502,352194,101166,Rynku Starego Miasta,Rynek Starego Miasta
503,52246,101166,Starego Miasta,Stare Miasto
506,352199,101166,Prus Wschodnich,Prusy Wschodnie
509,52249,101166,Gazety Olsztyńskiej,Gazeta Olsztyńska
510,52263,101166,Starego Ratusza,Stary Ratusz
513,52252,101166,Św. Barbary,Św. Barbara
517,52270,101166,Bramy Dolnej,Brama Dolna
518,52274,101166,Dworcem Głównym,Dworzec Główny
520,52271,101166,Bramy Górnej,Brama Górna
526,52320,101169,Stanach Zjednoczonych,Stany Zjednoczone
531,307079,101170,Bitwa pod Lublinem,bitwa pod Lublinem
535,52360,101170,ziemi lubelskiej,ziemia lubelska
536,52361,101170,ziemie sanocką,ziemia sanocka
537,352215,101170,kampanii ruskiej,kampania ruska
538,52326,101170,Kazimierza Wielkiego,Kazimierz Wielki
541,99809,101171,Placu Centralnego,Plac Centralny
543,99808,101171,Nowej Hucie,Nowa Huta
544,99810,101171,Aleją Róż,Aleja Róż
547,307090,101172,II wojnie światowej,II wojna światowa
550,52378,101172,Oceanem Atlantyckim,Ocean Atlantycki
553,52386,101172,Azji Dalekowschodniej,Azja Dalekowschodnia
555,352293,101173,Mistrzostwach Świata w Narciarstwie Klasycznym,Mistrzostwa Świata w Narciarstwie Klasycznym
560,52404,101175,Partii Pracy,Partia Pracy
561,52403,101175,Partii Liberalnej,Partia Liberalna
562,352303,101175,związkami zawodowymi,związek zawodowy
563,52408,101175,Kongresie Związków Zawodowych,Kongres Związków Zawodowych
564,52430,101175,Tony'ego Blaira,Tony Blair
566,52433,101175,Izbie Gmin,Izba Gmin
568,352302,101175,trzeciej drogi,trzecia droga
569,52425,101175,Jamesa Ramsaya McDonalda,James Ramsay McDonald
570,52432,101175,Izbie Lordów,Izba Lordów
577,352306,101176,kortach ziemnych,korty ziemne
578,351972,101177,Kwiat bauhinii,kwiat bauhinii
579,52458,101177,Wielką Brytanię,Wielka Brytania
581,52460,101177,Chińskiej Republiki Ludowej,Chińska Republika Ludowa
586,305264,101179,Unii Lubelskiej,Unia Lubelska
587,352314,101179,drogi wojewódzkiej,droga wojewódzka
588,52475,101179,Ronda Lubelskiego Lipca '80,Rondo Lubelskiego Lipca '80
589,310423,101179,Lubelskiego Lipca '80,Lubelski Lipiec '80
592,52488,101179,Królestwem Polskim,Królestwo Polskie
593,304948,101179,Władysława Gomułki,Władysław Gomułka
594,52489,101179,Wielkim Księstwem Litewskim,Wielkie Księstwo Litewskie
595,352313,101179,głównych ulic,główna ulica
597,304945,101179,Romana Dmowskiego,Roman Dmowski
599,350372,101179,Rondem Lubelskiego Lipca '80,Rondo Lubelskiego Lipca '80
602,52484,101179,Szpitala Klinicznego,szpital Kliniczny
607,307107,101182,Pucharu Narodów Afryki,Puchar Narodów Afryki
610,307108,101182,Mistrzostw Świata 2010,Mistrzostwa Świata 2010
613,52523,101182,Arabią Saudyjską,Arabia Saudyjska
614,307101,101182,Spartą Rotterdam,Sparta Rotterdam
615,307106,101182,Pucharu UEFA,Puchar UEFA
617,352333,101185,sekcję lekkoatletyczną,sekcja lekkoatletyczna
619,307109,101185,Pucharze Polski,Puchar Polski
622,58834,101186,Wydziału Radia i Telewizji,Wydział Radia i Telewizji
623,52556,101186,Rinke Rooyens'em,Rinke Rooyens
624,52581,101186,Uniwersytetu Śląskiego,Uniwersytet Śląski
625,58835,101186,Wydziale Budowy Maszyn i Lotnictwa,Wydział Budowy Maszyn i Lotnictwa
627,52582,101186,Politechniki Rzeszowskiej,Politechnika Rzeszowska
643,352484,101187,systemem informatycznym,system informatyczny
644,63239,101187,Narodowym Bankiem Polskim,Narodowy Bank Polski
645,63238,101187,Skarbu Państwa,Skarb Państwa
646,63234,101187,Służbie Celnej,Służba Celna
647,352485,101187,Polskiej Służby Celnej,Polska Służba Celna
650,352493,101188,fundamentalizmu islamskiego,fundamentalizm islamski
657,307135,101189,Espanyolem Barcelona,Espanyol Barcelona
660,350678,101190,igrzyskach olimpijskich,igrzyska olimpijskie
661,352506,101190,rzucie oszczepem,rzut oszczepem
664,352507,101191,nauki czytania,nauka czytania
666,352512,101191,podstawowych środków komunikacji społecznej,podstawowy środek komunikacji społecznej
669,307139,101192,I wojny światowej,I wojna światowa
673,352521,101193,stanie Kalifornia,stan Kalifornia
674,352522,101193,hrabstwie Los Angeles,hrabstwo Los Angeles
678,325099,101194,Wydziale Prawno-Ekonomicznym Uniwersytetu Poznańskiego,Wydział Prawno-Ekonomiczny Uniwersytetu Poznańskiego
679,53257,101194,Wydziale Prawno-Ekonomicznym,Wydział Prawno-Ekonomiczny
680,53275,101194,Krajowej Rady Narodowej,Krajowa Rada Narodowa
681,53269,101194,Centrali Rzemieślniczej,Centrala Rzemieślnicza
682,53276,101194,Sejmu Ustawodawczego,Sejm Ustawodawczy
683,53258,101194,Uniwersytetu Poznańskiego,Uniwersytet Poznański
684,53262,101194,Poznańsko-Warszawskim Towarzystwie Ubezpieczeniowym,Poznańsko-Warszawskie Towarzystwo Ubezpieczeniowe
685,53254,101194,Dębach Szlacheckich,Dęby Szlacheckie
686,53266,101194,Państwowej Centrali Handlowej,Państwowa Centrala Handlowa
687,53270,101194,Centralnym Związku Spółdzielczości Pracy,Centralny Związek Spółdzielczości Pracy
688,53259,101194,Akademii Handlowej,Akademia Handlowa
689,53271,101194,Spółdzielczości Pracy,spółdzielczość pracy
692,352530,101195,liturgii pogrzebowej,liturgia pogrzebowa
696,65863,101195,Modlitwę Pańską,Modlitwa Pańska
698,53315,101196,Komisji Ochrony Środowiska i Zasobów Naturalnych,Komisja Ochrony Środowiska i Zasobów Naturalnych
699,53305,101196,Polskiego Stronnictwa Ludowego,Polskie Stronnictwo Ludowe
701,53304,101196,Zjednoczonego Stronnictwa Ludowego,Zjednoczone Stronnictwo Ludowe
702,352544,101196,dyrektorem szkoły,dyrektor szkoły
703,53324,101196,W. Witosa,W. Witos
704,53319,101196,Suchej Beskidzkiej,Sucha Beskidzka
705,53316,101196,Komisji Edukacji Narodowej i Młodzieży,Komisja Edukacji Narodowej i Młodzieży
707,53325,101196,Wincentego Witosa,Wincenty Witos
718,53350,101200,Zakładów Mechanicznych Plage i Laśkiewicz,Zakłady Mechaniczne Plage i Laśkiewicz
722,65893,101200,H. Skrzypińskiego,H. Skrzypiński
724,65892,101200,Locie Małej Entanty i Polski,Lot Małej Entanty i Polski
726,325675,101200,Małej Entanty,Mała Entanta
727,420604,101200,Kierownictwa Marynarki Wojennej,Kierownictwo Marynarki Wojennej
730,53354,101200,Marynarki Wojennej,Marynarka Wojenna
733,325673,101200,II Locie Małej Entanty i Polski,II Lot Małej Entanty i Polski
736,66224,101200,półwyspie Helskim,półwysep Helski
737,65895,101200,E. Wyrwickiego,E. Wyrwicki
740,307145,101201,XVIII mistrzostw Azji w lekkoatletyce,XVIII mistrzostwa Azji w lekkoatletyce
743,420655,101203,Cerkiew świętego Mikołaja w Brześciu,cerkiew świętego Mikołaja w Brześciu
744,53415,101203,Cerkiew św. Mikołaja,cerkiew św. Mikołaja
745,53416,101203,Cerkiew świętego Mikołaja,cerkiew świętego Mikołaja
746,53407,101203,św. Mikołaja,św. Mikołaj
747,53408,101203,świętego Mikołaja,święty Mikołaj
749,307197,101203,unii brzeskiej,unia brzeska
752,53448,101203,ziemiach zabranych,ziemia zabrana
753,53430,101203,Wielkiego Księstwa Litewskiego,Wielkie Księstwo Litewskie
754,53434,101203,Kościoła greckokatolickiego,Kościół greckokatolicki
755,53435,101203,Rosyjską Cerkiew Prawosławną,Rosyjska Cerkiew Prawosławna
756,53451,101203,twierdzy brzeskiej,twierdza brzeska
767,307208,101204,Igrzysk Olimpijskich,Igrzyska Olimpijskie
773,53485,101207,Komisji Komunikacji i Łączności,Komisja Komunikacji i Łączności
774,53487,101207,"Komisji Planu Gospodarczego, Budżetu i Finansów","Komisja Planu Gospodarczego, Budżetu i Finansów"
775,420672,101207,Komisji Planu Gospodarczego,Komisja Planu Gospodarczego
776,420673,101207,Komisji Obrony Narodowej,Komisja Obrony Narodowej
778,420680,101208,promieni słonecznych,promienie słoneczne
781,420692,101209,Igrzysk Olimpijskich w Pekinie,Igrzyska Olimpijskie w Pekinie
785,310902,101210,wojny domowej,wojna domowa
786,307213,101210,rewolucji 1905 roku,rewolucja 1905 roku
787,99843,101210,Południową grupą,Południowa grupa
788,99845,101210,Frontu Wschodniego Armii Czerwonej,Front Wschodni Armii Czerwonej
789,99844,101210,Armii Czerwonej,Armia Czerwona
791,307214,101210,rewolucji październikowej,rewolucja październikowa
792,99866,101210,"""Opowieść niezgaszonego księżyca""",Opowieść niezgaszonego księżyca
795,420699,101210,Rady Wojskowo-Rewolucyjnej ZSRR,Rada Wojskowo-Rewolucyjna ZSRR
796,99855,101210,Rady Wojskowo-Rewolucyjnej,Rada Wojskowo-Rewolucyjna
799,307216,101211,mistrzostw Ameryki Południowej w lekkoatletyce,mistrzostwa Ameryki Południowej w lekkoatletyce
800,65971,101211,Ameryki Południowej,Ameryka Południowa
804,53529,101212,8 Pułku Piechoty Legionów,8 Pułk Piechoty Legionów
806,53564,101213,św. Jerzego,św. Jerzy
807,53558,101213,zakonu krzyżackiego,zakon krzyżacki
808,420717,101213,zamku Millstatt,zamek Millstatt
809,420715,101213,cesarza Fryderyka III,cesarz Fryderyk III
810,53561,101213,Fryderyka III,Fryderyk III
811,420716,101213,papieża Pawła II,papież Paweł II
812,53562,101213,Pawła II,Paweł II
813,420726,101214,Kondygnacje nadziemne,Kondygnacja nadziemna
815,420743,101215,buddyzmie tybetańskim,buddyz tybetański
816,420745,101215,tybetańskiej religii Bon,tybetańska religia Bon
824,420758,101218,województwa opolskiego,województwo opolskie
825,307218,101218,wojny 30 letniej,wojna 30 letnia
826,420757,101218,gminie Głuchołazy,gmina Głuchołazy
827,53609,101218,Racławicami Śląskimi,Racławice Śląskie
828,307219,101219,Bitwa pod Suchodołem,bitwa pod Suchodołem
829,53657,101219,Konrad mazowiecki,Konrad Mazowiecki
830,308046,101219,dzielnicę krakowską,dzielnica krakowska
831,420764,101219,Bolesława Wstydliwego,Bolesław Wstydliwy
833,420765,101219,Klemensa z Ruszczy,Klemens z Ruszczy
834,53654,101219,Konrada I,Konrad I
835,420766,101219,Mieszka II Otyłego,Mieszko II Otyły
836,420767,101219,Przemysła I,Przemysł I
837,422459,101220,wojny polsko-szwedzkiej,wojna polsko-szwedzka
839,422452,101220,województwie warmińsko-mazurskim,województwo warmińsko-mazurskie
840,422455,101220,województwa suwalskiego,województwo suwalskie
841,53691,101220,Wojtkowi Wojnasowi,Wojtek Wojnas
842,422461,101220,hetmana Gosiewskiego,hetman Gosiewski
843,422453,101220,powiecie oleckim,powiat olecki
844,422454,101220,gminie Wieliczki,gmina Wieliczki
846,422466,101221,województwie zamojskim,województwo zamojskie
847,422464,101221,powiecie tomaszowskim,powiat tomaszowski
848,422465,101221,gminie Krynice,gmina Krynice
849,422471,101222,Pucharze Davisa,Puchar Davisa
850,422469,101222,wielkoszlemowym turnieju French Open,wielkoszlemowy turniej French Open
852,308024,101222,Rolanda Garrosa,Roland Garros
854,53726,101222,Paulem-Henrim Mathieu,Paul-Henri Mathieu
855,422478,101223,Feliksa Wołowskiego,Feliksa Wołowski
856,422474,101223,Ośrodek Szkoleniowy ZUS-u,Ośrodek Szkoleniowy ZUS
