,phrase_id,doc_id,text,lemma,numbers,cases,relations,heads,pairs,relation,head,final_number,final_case
43,343922,100505,portu lotniczego Wnukowo,port lotniczy Wnukowo,"['sg', ['sg', 'sg']]","['gen', ['acc', 'gen']]","['agreement', 'government']","['port', 'lotniczy']","[('portu', 'lotniczego'), ('lotniczego', 'Wnukowo')]",government,lotniczy,sg,acc
43,343922,100505,portu lotniczego Wnukowo,port lotniczy Wnukowo,"['sg', ['sg', 'sg']]","['gen', ['acc', 'gen']]","['agreement', 'government']","['port', 'lotniczy']","[('portu', 'lotniczego'), ('lotniczego', 'Wnukowo')]",government,lotniczy,sg,gen
50,343936,100508,gminie Roeser,gmina Roeser,"[['sg', 'sg', 'sg']]","[['voc', 'loc', 'dat']]",['government'],['gmina'],"[('gminie', 'Roeser')]",government,gmina,sg,voc
50,343936,100508,gminie Roeser,gmina Roeser,"[['sg', 'sg', 'sg']]","[['voc', 'loc', 'dat']]",['government'],['gmina'],"[('gminie', 'Roeser')]",government,gmina,sg,loc
50,343936,100508,gminie Roeser,gmina Roeser,"[['sg', 'sg', 'sg']]","[['voc', 'loc', 'dat']]",['government'],['gmina'],"[('gminie', 'Roeser')]",government,gmina,sg,dat
52,343940,100509,Katedrze Prawa Cywilnego na KUL,Katedra Prawa Cywilnego na KUL,"[['sg', 'sg'], 'sg', ['sg', 'sg'], ['sg.pl', 'sg', 'sg.pl', 'sg', 'sg.pl', 'sg', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'pl']]","[['loc', 'dat'], 'gen', ['acc', 'gen'], ['inst', 'acc', 'acc', 'sec', 'loc', 'nom', 'gen', 'nom', 'dat', 'voc', 'gen']]","['government', 'agreement', 'government', 'government']","['Katedra', 'Prawa', 'Cywilnego', 'KUL']","[('Katedrze', 'Prawa'), ('Prawa', 'Cywilnego'), ('Cywilnego', 'na'), ('na', 'KUL')]",government,Katedra,sg,loc
52,343940,100509,Katedrze Prawa Cywilnego na KUL,Katedra Prawa Cywilnego na KUL,"[['sg', 'sg'], 'sg', ['sg', 'sg'], ['sg.pl', 'sg', 'sg.pl', 'sg', 'sg.pl', 'sg', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl', 'pl']]","[['loc', 'dat'], 'gen', ['acc', 'gen'], ['inst', 'acc', 'acc', 'sec', 'loc', 'nom', 'gen', 'nom', 'dat', 'voc', 'gen']]","['government', 'agreement', 'government', 'government']","['Katedra', 'Prawa', 'Cywilnego', 'KUL']","[('Katedrze', 'Prawa'), ('Prawa', 'Cywilnego'), ('Cywilnego', 'na'), ('na', 'KUL')]",government,Katedra,sg,dat
53,32016,100509,Katedrze Prawa Cywilnego,Katedra Prawa Cywilnego,"[['sg', 'sg'], 'sg']","[['loc', 'dat'], 'gen']","['government', 'agreement']","['Katedra', 'Prawa']","[('Katedrze', 'Prawa'), ('Prawa', 'Cywilnego')]",government,Katedra,sg,loc
53,32016,100509,Katedrze Prawa Cywilnego,Katedra Prawa Cywilnego,"[['sg', 'sg'], 'sg']","[['loc', 'dat'], 'gen']","['government', 'agreement']","['Katedra', 'Prawa']","[('Katedrze', 'Prawa'), ('Prawa', 'Cywilnego')]",government,Katedra,sg,dat
54,294199,100509,Wydziale Prawniczym Katolickiego Uniwersytetu Lubelskiego,Wydział Prawniczy Katolickiego Uniwersytetu Lubelskiego,"['sg', ['sg', 'sg', 'pl'], 'sg', 'sg']","['loc', ['inst', 'loc', 'dat'], 'gen', 'gen']","['agreement', 'government', 'agreement', 'agreement']","['Wydział', 'Prawniczy', 'Uniwersytetu', 'Uniwersytetu']","[('Wydziale', 'Prawniczym'), ('Prawniczym', 'Katolickiego'), ('Katolickiego', 'Uniwersytetu'), ('Uniwersytetu', 'Lubelskiego')]",government,Prawniczy,sg,inst
54,294199,100509,Wydziale Prawniczym Katolickiego Uniwersytetu Lubelskiego,Wydział Prawniczy Katolickiego Uniwersytetu Lubelskiego,"['sg', ['sg', 'sg', 'pl'], 'sg', 'sg']","['loc', ['inst', 'loc', 'dat'], 'gen', 'gen']","['agreement', 'government', 'agreement', 'agreement']","['Wydział', 'Prawniczy', 'Uniwersytetu', 'Uniwersytetu']","[('Wydziale', 'Prawniczym'), ('Prawniczym', 'Katolickiego'), ('Katolickiego', 'Uniwersytetu'), ('Uniwersytetu', 'Lubelskiego')]",government,Prawniczy,sg,loc
54,294199,100509,Wydziale Prawniczym Katolickiego Uniwersytetu Lubelskiego,Wydział Prawniczy Katolickiego Uniwersytetu Lubelskiego,"['sg', ['sg', 'sg', 'pl'], 'sg', 'sg']","['loc', ['inst', 'loc', 'dat'], 'gen', 'gen']","['agreement', 'government', 'agreement', 'agreement']","['Wydział', 'Prawniczy', 'Uniwersytetu', 'Uniwersytetu']","[('Wydziale', 'Prawniczym'), ('Prawniczym', 'Katolickiego'), ('Katolickiego', 'Uniwersytetu'), ('Uniwersytetu', 'Lubelskiego')]",government,Prawniczy,pl,dat
55,31943,100509,Wyborczej Akcji Katolickiej,Wyborcza Akcja Katolicka,"[['sg', 'sg', 'sg'], ['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen'], ['loc', 'dat', 'gen']]","['agreement', 'agreement']","['Akcja', 'Akcja']","[('Wyborczej', 'Akcji'), ('Akcji', 'Katolickiej')]",agreement,Akcja,sg,loc
55,31943,100509,Wyborczej Akcji Katolickiej,Wyborcza Akcja Katolicka,"[['sg', 'sg', 'sg'], ['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen'], ['loc', 'dat', 'gen']]","['agreement', 'agreement']","['Akcja', 'Akcja']","[('Wyborczej', 'Akcji'), ('Akcji', 'Katolickiej')]",agreement,Akcja,sg,dat
55,31943,100509,Wyborczej Akcji Katolickiej,Wyborcza Akcja Katolicka,"[['sg', 'sg', 'sg'], ['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen'], ['loc', 'dat', 'gen']]","['agreement', 'agreement']","['Akcja', 'Akcja']","[('Wyborczej', 'Akcji'), ('Akcji', 'Katolickiej')]",agreement,Akcja,sg,gen
56,31940,100509,Wydziale Prawniczym,Wydział Prawniczy,['sg'],['loc'],['agreement'],['Wydział'],"[('Wydziale', 'Prawniczym')]",agreement,Wydział,sg,loc
57,343941,100509,Zjednoczeniu Chrześcijańsko-Narodowym,Zjednoczenie Chrześcijańsko-Narodowe,['sg'],['loc'],['agreement'],['Zjednoczenie'],"[('Zjednoczeniu', 'Chrześcijańsko-Narodowym')]",agreement,Zjednoczenie,sg,loc
58,31941,100509,Katolickiego Uniwersytetu Lubelskiego,Katolicki Uniwersytet Lubelski,"['sg', 'sg']","['gen', 'gen']","['agreement', 'agreement']","['Uniwersytet', 'Uniwersytet']","[('Katolickiego', 'Uniwersytetu'), ('Uniwersytetu', 'Lubelskiego')]",agreement,Uniwersytet,sg,gen
59,31944,100509,Akcji Wyborczej Solidarność,Akcja Wyborcza Solidarność,"[['sg', 'sg', 'sg'], ['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen'], ['gen', 'loc', 'dat']]","['agreement', 'government']","['Akcja', 'Wyborcza']","[('Akcji', 'Wyborczej'), ('Wyborczej', 'Solidarność')]",government,Wyborcza,sg,gen
59,31944,100509,Akcji Wyborczej Solidarność,Akcja Wyborcza Solidarność,"[['sg', 'sg', 'sg'], ['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen'], ['gen', 'loc', 'dat']]","['agreement', 'government']","['Akcja', 'Wyborcza']","[('Akcji', 'Wyborczej'), ('Wyborczej', 'Solidarność')]",government,Wyborcza,sg,loc
59,31944,100509,Akcji Wyborczej Solidarność,Akcja Wyborcza Solidarność,"[['sg', 'sg', 'sg'], ['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen'], ['gen', 'loc', 'dat']]","['agreement', 'government']","['Akcja', 'Wyborcza']","[('Akcji', 'Wyborczej'), ('Wyborczej', 'Solidarność')]",government,Wyborcza,sg,dat
61,31945,100509,Ligi Polskich Rodzin,Liga Polskich Rodzin,"['pl', 'pl']","['acc', 'gen']","['agreement', 'agreement']","['Liga', 'Rodzin']","[('Ligi', 'Polskich'), ('Polskich', 'Rodzin')]",agreement,Liga,pl,acc
63,343947,100510,archipelagu Tuvalu,archipelag Tuvalu,"[['sg', 'sg', 'sg']]","[['voc', 'loc', 'gen']]",['government'],['archipelag'],"[('archipelagu', 'Tuvalu')]",government,archipelag,sg,voc
63,343947,100510,archipelagu Tuvalu,archipelag Tuvalu,"[['sg', 'sg', 'sg']]","[['voc', 'loc', 'gen']]",['government'],['archipelag'],"[('archipelagu', 'Tuvalu')]",government,archipelag,sg,loc
63,343947,100510,archipelagu Tuvalu,archipelag Tuvalu,"[['sg', 'sg', 'sg']]","[['voc', 'loc', 'gen']]",['government'],['archipelag'],"[('archipelagu', 'Tuvalu')]",government,archipelag,sg,gen
64,31954,100511,Stadion Punjab,stadion Punjab,"[['sg', 'sg']]","[['acc', 'nom']]",['government'],['stadion'],"[('Stadion', 'Punjab')]",government,stadion,sg,acc
64,31954,100511,Stadion Punjab,stadion Punjab,"[['sg', 'sg']]","[['acc', 'nom']]",['government'],['stadion'],"[('Stadion', 'Punjab')]",government,stadion,sg,nom
67,343965,100513,rejencji Szwabia,rejencja Szwabia,"[['pl', 'sg', 'sg', 'sg']]","[['gen', 'loc', 'dat', 'gen']]",['government'],['rejencja'],"[('rejencji', 'Szwabia')]",government,rejencja,pl,gen
67,343965,100513,rejencji Szwabia,rejencja Szwabia,"[['pl', 'sg', 'sg', 'sg']]","[['gen', 'loc', 'dat', 'gen']]",['government'],['rejencja'],"[('rejencji', 'Szwabia')]",government,rejencja,sg,loc
67,343965,100513,rejencji Szwabia,rejencja Szwabia,"[['pl', 'sg', 'sg', 'sg']]","[['gen', 'loc', 'dat', 'gen']]",['government'],['rejencja'],"[('rejencji', 'Szwabia')]",government,rejencja,sg,dat
67,343965,100513,rejencji Szwabia,rejencja Szwabia,"[['pl', 'sg', 'sg', 'sg']]","[['gen', 'loc', 'dat', 'gen']]",['government'],['rejencja'],"[('rejencji', 'Szwabia')]",government,rejencja,sg,gen
68,343966,100513,powiecie Unterallgäu,powiat Unterallgäu,"[['sg', 'sg', 'pl']]","[['voc', 'loc', 'sec']]",['government'],['powiat'],"[('powiecie', 'Unterallgäu')]",government,powiat,sg,voc
68,343966,100513,powiecie Unterallgäu,powiat Unterallgäu,"[['sg', 'sg', 'pl']]","[['voc', 'loc', 'sec']]",['government'],['powiat'],"[('powiecie', 'Unterallgäu')]",government,powiat,sg,loc
68,343966,100513,powiecie Unterallgäu,powiat Unterallgäu,"[['sg', 'sg', 'pl']]","[['voc', 'loc', 'sec']]",['government'],['powiat'],"[('powiecie', 'Unterallgäu')]",government,powiat,pl,sec
69,343967,100513,wspólnocie administracyjnej Dirlewang,wspólnota administracyjna Dirlewang,"[['sg', 'sg'], ['sg', 'sg', 'sg']]","[['loc', 'dat'], ['gen', 'loc', 'dat']]","['agreement', 'government']","['wspólnota', 'administracyjna']","[('wspólnocie', 'administracyjnej'), ('administracyjnej', 'Dirlewang')]",government,administracyjna,sg,gen
69,343967,100513,wspólnocie administracyjnej Dirlewang,wspólnota administracyjna Dirlewang,"[['sg', 'sg'], ['sg', 'sg', 'sg']]","[['loc', 'dat'], ['gen', 'loc', 'dat']]","['agreement', 'government']","['wspólnota', 'administracyjna']","[('wspólnocie', 'administracyjnej'), ('administracyjnej', 'Dirlewang')]",government,administracyjna,sg,loc
69,343967,100513,wspólnocie administracyjnej Dirlewang,wspólnota administracyjna Dirlewang,"[['sg', 'sg'], ['sg', 'sg', 'sg']]","[['loc', 'dat'], ['gen', 'loc', 'dat']]","['agreement', 'government']","['wspólnota', 'administracyjna']","[('wspólnocie', 'administracyjnej'), ('administracyjnej', 'Dirlewang')]",government,administracyjna,sg,dat
71,31992,100514,Ligi Mistrzów,Liga Mistrzów,['pl'],['acc'],['agreement'],['Liga'],"[('Ligi', 'Mistrzów')]",agreement,Liga,pl,acc
74,343976,100515,gminy Rabós,gmina Rabós,"[['pl', 'pl', 'sg', 'pl']]","[['acc', 'voc', 'gen', 'nom']]",['government'],['gmina'],"[('gminy', 'Rabós')]",government,gmina,pl,acc
74,343976,100515,gminy Rabós,gmina Rabós,"[['pl', 'pl', 'sg', 'pl']]","[['acc', 'voc', 'gen', 'nom']]",['government'],['gmina'],"[('gminy', 'Rabós')]",government,gmina,pl,voc
74,343976,100515,gminy Rabós,gmina Rabós,"[['pl', 'pl', 'sg', 'pl']]","[['acc', 'voc', 'gen', 'nom']]",['government'],['gmina'],"[('gminy', 'Rabós')]",government,gmina,sg,gen
74,343976,100515,gminy Rabós,gmina Rabós,"[['pl', 'pl', 'sg', 'pl']]","[['acc', 'voc', 'gen', 'nom']]",['government'],['gmina'],"[('gminy', 'Rabós')]",government,gmina,pl,nom
77,343978,100515,prowincji Girona,prowincja Girona,"[['pl', 'sg', 'sg', 'sg']]","[['gen', 'loc', 'dat', 'gen']]",['government'],['prowincja'],"[('prowincji', 'Girona')]",government,prowincja,pl,gen
77,343978,100515,prowincji Girona,prowincja Girona,"[['pl', 'sg', 'sg', 'sg']]","[['gen', 'loc', 'dat', 'gen']]",['government'],['prowincja'],"[('prowincji', 'Girona')]",government,prowincja,sg,loc
77,343978,100515,prowincji Girona,prowincja Girona,"[['pl', 'sg', 'sg', 'sg']]","[['gen', 'loc', 'dat', 'gen']]",['government'],['prowincja'],"[('prowincji', 'Girona')]",government,prowincja,sg,dat
77,343978,100515,prowincji Girona,prowincja Girona,"[['pl', 'sg', 'sg', 'sg']]","[['gen', 'loc', 'dat', 'gen']]",['government'],['prowincja'],"[('prowincji', 'Girona')]",government,prowincja,sg,gen
80,343985,100516,piłce nożnej,piłka nożna,"[['sg', 'sg']]","[['loc', 'dat']]",['agreement'],['piłka'],"[('piłce', 'nożnej')]",agreement,piłka,sg,loc
80,343985,100516,piłce nożnej,piłka nożna,"[['sg', 'sg']]","[['loc', 'dat']]",['agreement'],['piłka'],"[('piłce', 'nożnej')]",agreement,piłka,sg,dat
81,343983,100516,pucharu kraju,puchar kraju,['sg'],['gen'],['agreement'],['puchar'],"[('pucharu', 'kraju')]",agreement,puchar,sg,gen
88,32024,100518,Juliusza Słowackiego,Juliusz Słowacki,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Juliusz'],"[('Juliusza', 'Słowackiego')]",agreement,Juliusz,sg,acc
88,32024,100518,Juliusza Słowackiego,Juliusz Słowacki,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Juliusz'],"[('Juliusza', 'Słowackiego')]",agreement,Juliusz,sg,gen
89,343992,100518,herbu Bawół,herb Bawół,[['sg']],[['gen']],['government'],['herb'],"[('herbu', 'Bawół')]",government,herb,sg,gen
90,308982,100518,Pana Tadeusza,Pan Tadeusz,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Pan'],"[('Pana', 'Tadeusza')]",agreement,Pan,sg,acc
90,308982,100518,Pana Tadeusza,Pan Tadeusz,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Pan'],"[('Pana', 'Tadeusza')]",agreement,Pan,sg,gen
91,343999,100518,niemieckiego rycerstwa Mieczowców,niemieckie rycerstwo Mieczowców,"['sg', ['pl', 'pl', 'sg', 'pl']]","['gen', ['acc', 'voc', 'gen', 'nom']]","['agreement', 'government']","['rycerstwo', 'rycerstwo']","[('niemieckiego', 'rycerstwa'), ('rycerstwa', 'Mieczowców')]",government,rycerstwo,pl,acc
91,343999,100518,niemieckiego rycerstwa Mieczowców,niemieckie rycerstwo Mieczowców,"['sg', ['pl', 'pl', 'sg', 'pl']]","['gen', ['acc', 'voc', 'gen', 'nom']]","['agreement', 'government']","['rycerstwo', 'rycerstwo']","[('niemieckiego', 'rycerstwa'), ('rycerstwa', 'Mieczowców')]",government,rycerstwo,pl,voc
91,343999,100518,niemieckiego rycerstwa Mieczowców,niemieckie rycerstwo Mieczowców,"['sg', ['pl', 'pl', 'sg', 'pl']]","['gen', ['acc', 'voc', 'gen', 'nom']]","['agreement', 'government']","['rycerstwo', 'rycerstwo']","[('niemieckiego', 'rycerstwa'), ('rycerstwa', 'Mieczowców')]",government,rycerstwo,sg,gen
91,343999,100518,niemieckiego rycerstwa Mieczowców,niemieckie rycerstwo Mieczowców,"['sg', ['pl', 'pl', 'sg', 'pl']]","['gen', ['acc', 'voc', 'gen', 'nom']]","['agreement', 'government']","['rycerstwo', 'rycerstwo']","[('niemieckiego', 'rycerstwa'), ('rycerstwa', 'Mieczowców')]",government,rycerstwo,pl,nom
93,32031,100518,Kawalerami Mieczowymi,Kawaler Mieczowy,['pl'],['inst'],['agreement'],['Kawaler'],"[('Kawalerami', 'Mieczowymi')]",agreement,Kawaler,pl,inst
94,32053,100519,szpitalu Dzieciątka Jezus,szpital Dzieciątka Jezus,"[['sg', 'sg'], None]","[['voc', 'loc'], None]","['government', None]","['szpital', None]","[('szpitalu', 'Dzieciątka'), ('Dzieciątka', 'Jezus')]",government,szpital,sg,voc
94,32053,100519,szpitalu Dzieciątka Jezus,szpital Dzieciątka Jezus,"[['sg', 'sg'], None]","[['voc', 'loc'], None]","['government', None]","['szpital', None]","[('szpitalu', 'Dzieciątka'), ('Dzieciątka', 'Jezus')]",government,szpital,sg,loc
95,344002,100519,Placu Powstańców Warszawy,Plac Powstańców Warszawy,"[['sg', 'sg', 'sg'], 'pl']","[['voc', 'loc', 'gen'], 'acc']","['government', 'agreement']","['Plac', 'Powstańców']","[('Placu', 'Powstańców'), ('Powstańców', 'Warszawy')]",government,Plac,sg,voc
95,344002,100519,Placu Powstańców Warszawy,Plac Powstańców Warszawy,"[['sg', 'sg', 'sg'], 'pl']","[['voc', 'loc', 'gen'], 'acc']","['government', 'agreement']","['Plac', 'Powstańców']","[('Placu', 'Powstańców'), ('Powstańców', 'Warszawy')]",government,Plac,sg,loc
95,344002,100519,Placu Powstańców Warszawy,Plac Powstańców Warszawy,"[['sg', 'sg', 'sg'], 'pl']","[['voc', 'loc', 'gen'], 'acc']","['government', 'agreement']","['Plac', 'Powstańców']","[('Placu', 'Powstańców'), ('Powstańców', 'Warszawy')]",government,Plac,sg,gen
96,52993,100519,św. Wincentego,św. Wincent,"[['sg', 'sg']]","[['acc', 'gen']]",['government'],['Wincent'],"[('św.', 'Wincentego')]",government,Wincent,sg,acc
